index,nomes,votos,partido,votos_totais,votos_validos,turno,estado,ano
15,Capi 40,174.540,PSB,394.703,366.281,2,ap,2018
16,Waldez,191.741,PDT,394.703,366.281,2,ap,2018
24,Amazonino Mendes,733.414,PDT,1.907.930,1.767.368,2,am,2018
25,Wilson Lima,1.033.954,PSC,1.907.930,1.767.368,2,am,2018
69,Juiz Odilon,616.422,PDT,1.449.374,1.293.732,2,ms,2018
70,Reinaldo Azambuja,677.310,PSDB,1.449.374,1.293.732,2,ms,2018
80,Antonio Anastasia,2.734.452,PSDB,12.064.283,9.698.258,2,mg,2018
81,Romeu Zema,6.963.806,NOVO,12.064.283,9.698.258,2,mg,2018
87,Helder,2.068.319,MDB,4.217.054,3.731.364,2,pa,2018
88,Marcio Miranda,1.663.045,DEM,4.217.054,3.731.364,2,pa,2018
133,Eduardo Paes,3.134.400,DEM,9.416.708,7.809.755,2,rj,2018
134,Wilson Witzel,4.675.355,PSC,9.416.708,7.809.755,2,rj,2018
143,Carlos Eduardo,753.035,PDT,1.942.196,1.775.945,2,rn,2018
144,Fatima Bezerra,1.022.910,PT,1.942.196,1.775.945,2,rn,2018
153,Eduardo Leite,3.128.317,PSDB,6.774.869,5.833.918,2,rs,2018
154,José Ivo Sartori,2.705.601,MDB,6.774.869,5.833.918,2,rs,2018
164,Coronel Marcos Rocha,530.188,PSL,881.834,799.220,2,ro,2018
165,Expedito Junior,269.032,PSDB,881.834,799.220,2,ro,2018
171,Anchieta,119.489,PSDB,270.315,256.101,2,rr,2018
172,Antonio Denarium,136.612,PSL,270.315,256.101,2,rr,2018
181,Comandante Moisés,2.644.179,PSL,4.213.519,3.719.421,2,sc,2018
182,Gelson Merísio,1.075.242,PSD,4.213.519,3.719.421,2,sc,2018
195,João Doria,10.990.350,PSDB,25.837.462,21.239.090,2,sp,2018
196,Marcio França,10.248.740,PSB,25.837.462,21.239.090,2,sp,2018
206,Belivaldo,679.051,PSD,1.264.065,1.049.212,2,se,2018
207,Valadares Filho,370.161,PSB,1.264.065,1.049.212,2,se,2018
224,Ibaneis,1.042.574,MDB,1.687.230,1.493.903,2,df,2018
225,Rodrigo Rollemberg,451.329,PSB,1.687.230,1.493.903,2,df,2018